input_col,input_table,target_col,target_table
record_id,articles,Article_ID,articles
pathogen,articles,Pathogen,articles
article_covidenceid,articles,Covidence_ID,articles
article_author_firstname,articles,FirstAuthor_FirstName,articles
article_author_surname,articles,FirstAauthor_Surname,articles
article_title,articles,Article_title,articles
article_doi,articles,DOI,articles
article_journal,articles,Journal,articles
article_year,articles,Year_publication,articles
article_volume,articles,Volume,articles
article_issue,articles,Issue,articles
article_first_page,articles,Page_first,articles
article_last_page,articles,Page_last,articles
article_preprint,articles,,articles
article_presto,articles,,articles
article_paper_copy,articles,Paper_copy_only,articles
article_notes,articles,Notes,articles
qa_method_clear,articles,QA_M1,articles
qa_method_robust,articles,QA_M2,articles
qa_assumptions_clear,articles,QA_A3,articles
qa_assumptions_justified,articles,QA_A4,articles
qa_data_clear,articles,QA_D5,articles
qa_issues_clear,articles,QA_D6,articles
qa_issues_accounted,articles,QA_D7,articles
qa_notes,articles,,articles
extractor_name,articles,Name_data_entry,articles
record_id,models,Article_ID,models
model_type,models,Model_type,models
model_compartmental,models,Compartmental_type,models
model_stoch_det,models,Stoch_Deter,models
model_theoretical,models,Theoretical_model,models
model_intervention,models,Interventions_type,models
model_code,models,Code_available,models
model_transmission,models,Transmission_route,models
model_assumptions,models,Assumptions,models
model_compartmental_other,models,,models
model_notes,models,,models
model_uncertainty,models,,models
model_spillover,models,,models
model_fitting_method,models,,models
model_language,models,,models
model_data,models,,models
model_readme,models,,models
model_spatial,models,,models
model_vector_type,models,,models
model_seasonality,models,,models
model_vertical_trans,models,,models
record_id,parameters,Article_ID,parameters
parameter_type,parameters,Parameter_type,parameters
parameter_unit,parameters,Parameter unit,parameters
parameter_value_type,parameters,Parameter value type,parameters
parameter_inverse,parameters,Inverse_param,parameters
parameter_exponent,parameters,Exponent,parameters
parameter_statistical,parameters,Parameter statistical approach,parameters
parameter_supplement,parameters,Method_from_supplement,parameters
parameter_figure,parameters,Parameter_FromFigure,parameters
parameter_value,parameters,Parameter value,parameters
parameter_range_low,parameters,Parameter lower bound,parameters
parameter_range_upper,parameters,Parameter upper bound,parameters
parameter_unc_single_type,parameters,Parameter uncertainty - single type,parameters
parameter_unc_single_value,parameters,Parameter uncertainty - single value,parameters
parameter_unc_pair_value_low,parameters,Parameter uncertainty - lower value,parameters
parameter_unc_pair_value_up,parameters,Parameter uncertainty - upper value,parameters
parameter_unc_pair_type,parameters,Parameter uncertainty - type,parameters
parameter_distr_type,parameters,Distribution_type,parameters
parameter_distr_a_type,parameters,Distribution_par1_type,parameters
parameter_distr_a_value,parameters,Distribution_par1_value,parameters
parameter_distr_a_uncertainty,parameters,Distribution_par1_uncertainty,parameters
parameter_distr_b_type,parameters,Distribution_par2_type,parameters
parameter_distr_b_value,parameters,Distribution_par2_value,parameters
parameter_distr_b_uncertainty,parameters,Distribution_par2_uncertainty,parameters
parameter_paired,parameters,,parameters
parameter_pair_sp,parameters,Parameter 2 value type,parameters
parameter_pair_unit,parameters,Parameter 2 unit,parameters
parameter_pair_inverse,parameters,Inverse_param_2,parameters
parameter_pair_supplement,parameters,Method_2_from_supplement,parameters
parameter_pair_exponent,parameters,Exponent_2,parameters
parameter_pair_statistical,parameters,Parameter 2 statistical approach,parameters
parameter_pair_value,parameters,Parameter 2 value,parameters
parameter_pair_range_low,parameters,Parameter 2 lower bound,parameters
parameter_pair_range_up,parameters,Parameter 2 upper bound,parameters
parameter_pair_uncert_yn,parameters,,parameters
parameter_pair_unc_single_type,parameters,Parameter 2 uncertainty - single type,parameters
parameter_pair_unc_single_value,parameters,Parameter 2 uncertainty - single value,parameters
parameter_pair_unc_pair_type,parameters,Parameter 2 uncertainty – type,parameters
parameter_pair_unc_pair_value_low,parameters,Parameter 2 uncertainty - lower value,parameters
parameter_pair_unc_pair_value_up,parameters,Parameter 2 uncertainty - upper value,parameters
parameter_pair_distr_yn,parameters,,parameters
parameter_pair_distr_type,parameters,Distribution_2_type,parameters
parameter_pair_distr_a_type,parameters,Distribution_2_par1_type,parameters
parameter_pair_distr_a_value,parameters,Distribution_2_par1_value,parameters
parameter_pair_distr_a_uncertainty,parameters,Distribution_2_par1_uncertainty,parameters
parameter_pair_distr_b_type,parameters,Distribution_2_par2_type,parameters
parameter_pair_distr_b_value,parameters,Distribution_2_par2_value,parameters
parameter_pair_distr_b_uncertainty,parameters,Distribution_2_par2_uncertainty,parameters
parameter_cfr_num,parameters,CFR_IFR_numerator,parameters
parameter_cfr_denom,parameters,CFR_IFR_denominator,parameters
parameter_cfr_method,parameters,method_naive_adjusted,parameters
parameter_cfr_definition,parameters,Case_definition,parameters
parameter_r_pathway,parameters,R_pathway,parameters
parameter_r_method,parameters,Method_R,parameters
parameter_rf_outcome,parameters,Riskfactor_outcome,parameters
parameter_rf_name,parameters,Riskfactor_name,parameters
parameter_rf_occupation,parameters,Riskfactor_occupation,parameters
parameter_rf_significant,parameters,Riskfactor_significant,parameters
parameter_rf_adjusted,parameters,Riskfactor_adjusted,parameters
parameter_hd_from,parameters,,parameters
parameter_hd_to,parameters,,parameters
parameter_hd_from_other,parameters,Other_delay_start,parameters
parameter_hd_to_other,parameters,Other_delay_end,parameters
parameter_gene,parameters,Genome_site,parameters
parameter_gene_data,parameters,Genomic_sequence_available,parameters
parameter_disaggregated_by,parameters,Method_disaggregated_by,parameters
parameter_disaggregated,parameters,Method_disaggregated,parameters
parameter_disaggregated_only,parameters,Method_disaggregated_only,parameters
parameter_context_sex,parameters,Population_sex,parameters
parameter_context_setting,parameters,Population_sample_type,parameters
parameter_context_group,parameters,Population_group,parameters
parameter_context_age_min,parameters,Population_age_min,parameters
parameter_context_age_max,parameters,Population_age_max,parameters
parameter_context_sample,parameters,Population_sample_size,parameters
parameter_context_start,parameters,Population_study_start,parameters
parameter_context_end,parameters,Population_study_end,parameters
parameter_context_country,parameters,Population_country,parameters
parameter_context_location,parameters,Population_location,parameters
parameter_context_location_type,parameters,,parameters
parameter_context_timing,parameters,Method_moment_value,parameters
parameter_context_urban,parameters,Urban/Rural area,parameters
parameter_context_data,parameters,Data_available,parameters
parameter_notes,parameters,,parameters
parameter_linked,parameters,,
model_linked,models,,
article_continuation,articles,,
pathogen_epidemiology_review_complete,articles,,
