"","Covidence #","qa_m1","qa_m2","qa_a3","qa_a4","qa_d5","qa_d6","qa_d7","covidence_id","article_id","pathogen","first_aauthor_surname","article_title","doi","journal","year_publication","volume","issue","page_first","page_last","name_data_entry","paper_copy_only","notes","ev_population_representation","iv_numerator_denominator","ev_sampling_frame","ev_random_selection","ev_non_response","iv_subject_proxy","iv_case_definition","iv_parameter_method","iv_mode_collection","iv_prevalence_period","first_author_first_name","double_extracted"
"1","#2059","NA","NA","NA","NA",1,"0","0",2059,1,"Marburg virus","G A","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"German Medical Monthly",1968,13,10,457,460,"Christian Morgenstern",TRUE,"scanned version of paper from library
Covers discovery of Marburg in Germany, first detected case.",NA,"NA","Yes","NA","NA","Yes","Yes","NA","Yes","NA","Martini",0
"2","#2060","NA","NA","NA","NA",1,"0","0",2060,20,"Marburg virus","G A","Marburg virus disease",NA,"Postgraduate Medical Journal",1973,NA,49,542,546,"Christian Morgenstern",FALSE,NA,NA,"NA","Yes","NA","Yes","Yes","Yes","NA","Yes","NA","Martini",0
"3","#2116","1","1","NA","NA",0,"0","0",2116,25,"Marburg virus","F","Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district 1984","10.1016/0035-9203(89)90352-0","Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,NA,NA,851,854,"Ruth McCabe",FALSE,NA,NA,"Yes","No","No","No","Yes","Yes","Yes","No","Yes","Rodhain",0
"4","#2120","1","1","NA","NA",1,"1","0",2120,44,"Marburg virus","Paul","Factors associated with Marburg hemorrhagic fever: analysis of patient data from Uige, Angola","10.1086/652748","The Journal of infectious diseases",2010,201,12,1909,1918,"Christian Morgenstern",FALSE,NA,NA,"Yes","No","No","Yes","Yes","Yes","NA","Yes","NA","Roddy",0
"5","#2241","1","0","NA","NA",1,"0","0",2241,42,"Marburg virus","Barbara","Multidistrict Outbreak of Marburg Virus Disease-Uganda, 2012","10.1093/infdis/jiv351","The Journal of Infectious Diseases",2015,212,NA,119,128,"Ettie Unwin",FALSE,"It's in Supplement 2 of the journal.  Page numbers are S119 and S128. Use risk factor outcome to indicate what outcome is being recorded.  Death = death, other = recovery",NA,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Knust",0
"6","#2369","1","1","NA","NA",0,"0","0",2369,37,"Marburg virus","Jean Paul","Ebola and Marburg virus antibody prevalence in selected populations of the Central African Republic
decision-making",NA,"Microbes and infection",2000,2,1,39,44,"Ettie Unwin",FALSE,"First 4 Qas hard to evaluate since method of participant selection was not included in this paper",NA,"Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Gonzalez",0
"7","#2370","1","0","NA","NA",1,"1","1",2370,40,"Marburg virus","J. P.","Antibody prevalence against haemorrhagic fever viruses in randomized representative Central African populations",NA,"Research in virology",1989,140,NA,319,331,"Ettie Unwin",FALSE,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Gonzalez",0
"8","#2405","NA","NA","NA","NA",0,"NA","NA",2405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","#2573","NA","NA","NA","NA",1,"NA","NA",2573,60,"Marburg virus","J. Lyle","Epidemiologic investigation of Marburg virus disease, Southern Africa, 1975",NA,"The American journal of tropical medicine and hygiene",1978,27,6,1210,1215,"Patrick Doohan",TRUE,"This is not available online, but I requested a copy from the library and uploaded the pdf to Covidence. Only outbreak data was extracted, since there were no parameters of interest (using our wording) identified.",NA,"NA","Yes","NA","NA","Yes","Yes","No","Yes","NA","Conrad",0
"10","#2596","1","1","NA","NA",1,"1","0",2596,7,"Marburg virus","E.D.","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,NA,530,535,"Patrick Doohan",FALSE,"This is a large-sample (4295) general population seroprevalence study. Though a bit dated (1993), it (relatively) carefully consdiers geographic and ethnic diversity within the Central African Republic, and finds population-level seroprevalence of 3.2%",NA,"Yes","Yes","No","No","Yes","Yes","Yes","Yes","NA","Johnson",0
