"","article_id","pathogen","covidence_id.x","first_aauthor_surname","first_author_first_name","article_title","doi","journal","year_publication","volume","issue","page_first","page_last","name_data_entry.x","paper_copy_only","notes","ev_population_representation","ev_sampling_frame","ev_random_selection","ev_non_response","iv_subject_proxy","iv_case_definition","iv_parameter_method","iv_mode_collection","iv_prevalence_period","iv_numerator_denominator","covidence_id.y","name_data_entry.y","double_extracted"
"1",1,"Marburg virus",2059,"G A","Martini","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"German Medical Monthly",1968,13,10,457,460,"Christian Morgenstern",TRUE,"scanned version of paper from library
Covers discovery of Marburg in Germany, first detected case.",NA,"Yes","NA","NA","Yes","Yes","NA","Yes","NA","NA",2059,"Christian Morgenstern",0
"2",5,"Marburg virus",2597,"E. D.","Johnson","Filovirus activity among selected ethnic groups inhabiting the tropical forest of equatorial Africa",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,5,536,538,"Dariya Nikitin",FALSE,NA,NA,"Yes","No","NA","Yes","Yes","Yes","Yes","NA","Yes",2597,"Dariya Nikitin",0
"3",6,"Marburg virus",3795,"JS","Gear","Outbreak of Marburg virus disease in Johannesburg","10.1136/bmj.4.5995.489","The British Medical Journal",1975,4,5995,489,493,"Rebecca Nash",FALSE,"3 person outbreak in Johannesburg in 1975. First recorded outbreak in Africa.",NA,"NA","NA","NA","Yes","Yes","Yes","Yes","NA","NA",3795,"Rebecca Nash",0
"4",7,"Marburg virus",2596,"E.D.","Johnson","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,NA,530,535,"Patrick Doohan",FALSE,"This is a large-sample (4295) general population seroprevalence study. Though a bit dated (1993), it (relatively) carefully consdiers geographic and ethnic diversity within the Central African Republic, and finds population-level seroprevalence of 3.2%",NA,"Yes","No","No","Yes","Yes","Yes","Yes","NA","Yes",2596,"Patrick Doohan",0
"5",20,"Marburg virus",2060,"G A","Martini","Marburg virus disease",NA,"Postgraduate Medical Journal",1973,NA,49,542,546,"Christian Morgenstern",FALSE,NA,NA,"Yes","NA","Yes","Yes","Yes","NA","Yes","NA","NA",2060,"Christian Morgenstern",0
"6",21,"Marburg virus",2762,"Mattias","Borchert","Serosurvey on Household Contacts of Marburg Hemorrhagic Fever Patients","10.3201/eid1205.050622","Emerging infectious diseases",2006,12,3,433,439,"Kelly McCain",FALSE,"Suspected cases come from symptomatic contacts who were not identified at the time of the outbreak.
Secondary attack rate and tertiary attack rates are reported in the paper, but only the secondary is recorded in the parameter form.",NA,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2762,"Kelly McCain",0
"7",22,"Marburg virus",2614,"B","Ivanoff","Haemorrhagic fever in Gabon. I. Incidence of Lassa, Ebola and Marburg viruses in Haut-Ogooue","10.1016/0035-9203(82)90089-x","Transactions of the Royal Society of Tropical Medicine and Hygiene",1982,76,NA,719,720,"Ruth McCabe",FALSE,"One thing looked at is pregnant women and newborns",NA,"No","No","No","No","Yes","Yes","No","Yes","Yes",2614,"Ruth McCabe",0
"8",23,"Marburg virus",2883,"CG","Albarino","Genomic analysis of filoviruses associated with four viral hemorrhagic fever outbreaks in Uganda and the Democratic Republic of the Congo in 2012","10.1016/j.virol.2013.04.014","Virology",2013,442,2,97,100,"Joseph",FALSE,NA,NA,"NA","NA","NA","Yes","Yes","Yes","Yes","NA","Yes",2883,"Joseph",0
"9",24,"Marburg virus",2601,"B. K.","Johnson","Antibodies against haemorrhagic fever viruses in Kenya populations",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1983,77,5,731,733,"Dariya Nikitin",FALSE,NA,NA,"No","No","NA","Yes","Yes","Yes","No","NA","Yes",2601,"Dariya Nikitin",0
"10",25,"Marburg virus",2116,"F","Rodhain","Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district 1984","10.1016/0035-9203(89)90352-0","Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,NA,NA,851,854,"Ruth McCabe",FALSE,NA,NA,"No","No","No","Yes","Yes","Yes","No","Yes","Yes",2116,"Ruth McCabe",0
