Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,parameter_pair_uncert_yn,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty – type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,parameter_pair_distr_yn,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Method_R,R_pathway,Genome_site,Genomic_sequence_available,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
499,1,FALSE,59,Alba Halliday,Seroprevalence - HAI/HI,No,No,NA,NA,NA,NA,No,No units,Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,189,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,189,Mixed settings,Mixed groups,16,70,Namibia,Kavango,Region,Unspecified,Unspecified,Yes - as an attachment,only number of positives given. Full study included 258 individuals but seroprevalence of RVF and other arboviruses was only done in 189 adults - in the text they specify that persons over 15 years of age are considered adults so I used 16 as the lower bound for the age range; country is given as south-west Africa/Namibia so I have only included Namibia in the country list as no other country is explicitly named.,NA,02,1983,NA,05,1983,499_001,Rift Valley fever virus,1,0
522,1,FALSE,138,Gina Cuomo-Dannenburg,Seroprevalence - IgG,No,No,0.036,NA,NA,NA,NA,NA,Central - unspecified,Estimated parameter,NA,NA,CI95%,0.016,0.07,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,233,Unspecified,Lab confirmed,NA,NA,NA,NA,NA,Yes,No,Sex,Both,437,School based,Children,8,14,Egypt,Bilbeis,Bilbeis area of the Nile river delta,Post outbreak,Rural area,Not available,Measure of prevalence with no explanation of how they reached the conclusion. Unsure why the denominator is not the number of children. IgG was used. Selected post-outbreak but this was ~10 years post-outbreak. Did survey in 4 schools in 3 villages,NA,10,1989,NA,11,1989,522_001,Rift Valley fever virus,1,0
503,1,FALSE,279,Alba Halliday,Seroprevalence - IgG,No,No,0,NA,NA,NA,No,No units,Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,632,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,632,Travel based,Other,NA,NA,South Sudan,Bentiu+Yida; Unity State \ Rumbek; Lakes State \ Wau; Western Bahr El Ghazal State,state,Unspecified,Unspecified,Not available,Occupation; Peacekeepers from Mongolia.  Serosurvey done before (fall 2012) and after deployment (spring 2013). Exposure to RVFV is zero in either case. Unsure if Paired means 632 or 632/2 peacekeepers in total. ,NA,NA,2012,NA,NA,2013,503_001,Rift Valley fever virus,1,0
505,1,FALSE,331,Alba Halliday,Seroprevalence - IgG,No,No,2.2,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,914,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,No,"Age,Region,Sex",Both,914,Household based,General population,NA,NA,Djibouti,locations within Djibouti City,City,Unspecified,Urban area,Yes - as an attachment,NA,11,11,2010,15,02,2011,505_001,Rift Valley fever virus,1,1
505,1,FALSE,331,Alba Halliday,Risk factors,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Other",NA,Significant,Adjusted,No,NA,NA,Both,914,Household based,General population,NA,NA,Djibouti,locations within Djibouti City,City,Unspecified,Urban area,Yes - as an attachment,Adjusted odds ratio from multivariate analysis; significant for Arab ethnicity and age <=19 years old,11,11,2010,15,02,2011,505_002,Rift Valley fever virus,1,0
549,1,FALSE,331,Kieran Chopra,Risk factors,No,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Sex,Other",NA,Not significant,Adjusted,No,NA,NA,Both,914,Household based,General population,NA,NA,Djibouti,locations within Djibouti City,City,Unspecified,Urban area,Yes - as an attachment,"Adjusted odds ratio from multivariate analysis;  risk factors: sex, (combined ethnic arab & upper socioeconomic status), large family (6 or more persons)",11,11,2010,15,02,2011,549_002,Rift Valley fever virus,1,0
496,1,FALSE,345,Amy Dighe,Seroprevalence - IgM,No,No,8,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,Naive,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,196,Hospital based,Persons with symptoms,1,89,Sudan,Khartoum,Province,Unspecified,Unspecified,Not available,Context was outpatients presenting with acute febrile illness. Cross-reactivity was noted with SFS and SFN.,NA,10,1988,NA,11,1988,496_001,Rift Valley fever virus,1,0
496,1,FALSE,345,Amy Dighe,Seroprevalence - IgM,No,No,4,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Naive,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,100,Hospital based,Other,NA,NA,Sudan,Khartoum,Province,Unspecified,Unspecified,Not available,Population context was 100 afebrile controls.,NA,10,1988,NA,11,1988,496_002,Rift Valley fever virus,1,0
496,1,FALSE,345,Amy Dighe,Seroprevalence - IgG,No,No,20,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,Naive,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,196,Hospital based,Persons with symptoms,1,89,Sudan,Khartoum,Province,Unspecified,Unspecified,Not available,Amongst cases of acute febrile illness.,NA,10,1988,NA,11,1988,496_003,Rift Valley fever virus,1,0
496,1,FALSE,345,Amy Dighe,Seroprevalence - IgG,No,No,22,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Naive,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,100,Hospital based,Other,NA,NA,Sudan,Khartoum,Province,Unspecified,Unspecified,Not available,Among afebrile controls.,NA,10,1988,NA,11,1988,496_004,Rift Valley fever virus,1,0
