Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,parameter_pair_uncert_yn,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty – type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,parameter_pair_distr_yn,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Method_R,R_pathway,Genome_site,Genomic_sequence_available,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
512,1,FALSE,345,Nora Schmit,Seroprevalence - Unspecified,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,300,Hospital based,Other,NA,NA,Sudan,Khartoum,Province,Unspecified,Unspecified,Not available,"Total antibody prevalence (IgM or IgG) in total study population (febrile cases + afebrile controls presenting to the military hospital). Disaggregated by age (<=10, 11-21 and >21 years)",NA,10,1988,NA,11,1988,512_005,Rift Valley fever virus,1,0
486,1,FALSE,356,Gemma Nedjati-Gilani,Seroprevalence - IFA,No,No,0.3,0,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,381,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,No,Region,Unspecified,381,Population based,General population,NA,NA,Madagascar,Antananarivo; Mandoto; Andasibe; Tsiroanomandidy; Ampijoroa,areas,Unspecified,Both urban and rural areas,Yes - as an attachment,Number of positive samples are reported with numerator and denominator for each of the 5 regions which i guess means that the range of estimates should be given under the rule of 3. However because numerators and denominators shouldn't be extracted for ranges of parameters I have only extracted the aggregated percentage and numerator and denominator,NA,NA,NA,NA,NA,NA,486_001,Rift Valley fever virus,1,0
504,1,FALSE,375,Anna Vicco,Seroprevalence - IFA,No,No,NA,NA,0,9,No,Percentage (%),NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1899,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,No,Region,Both,1899,Mixed settings,Mixed groups,1.5,NA,Kenya,Lodwar;Nzoia;Masinga;Laisamis;Malindi/Kilifi;,area,Unspecified,Unspecified,Not available,NA,NA,NA,NA,NA,NA,NA,504_001,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,0.8,0,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,CI95%,0.5,1.3,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1861,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,NA,NA,07,2010,NA,07,2012,492_001,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,0.5,NA,NA,NA,No,Percentage (%),Central - unspecified,Estimated parameter,NA,NA,CI95%,0.2,0.8,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1861,Adjusted,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,weighted by subregion population,NA,07,2010,NA,07,2012,492_002,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,0.1,0,0.1,1.6,No,Percentage (%),Central - unspecified,Estimated parameter,NA,NA,CI95%,0,0.2,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1861,Adjusted,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,corrected for test specificity,NA,07,2010,NA,07,2012,492_003,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Contact with animal",NA,Significant,Not adjusted,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,homesteads,NA,07,2010,NA,07,2012,492_004,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Contact with animal,Sex,Consumption of animal product",NA,Not significant,Not adjusted,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,homesteads,NA,07,2010,NA,07,2012,492_005,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Contact with animal",NA,Significant,Adjusted,No,NA,NA,Both,1861,Other,Farmers,5,85,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,homesteads,NA,07,2010,NA,07,2012,492_006,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,2.5,0,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,CI95%,1.5,4.2,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,553,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,NA,NA,07,2010,NA,11,2012,492_007,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,2.6,0,NA,NA,No,Percentage (%),Central - unspecified,Estimated parameter,NA,NA,CI95%,1.3,3.9,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,553,Adjusted,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,weighted by area population,NA,07,2010,NA,11,2012,492_008,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Seroprevalence - IgG,No,No,0.3,0,NA,NA,No,Percentage (%),Central - unspecified,Estimated parameter,NA,NA,CI95%,0,1.2,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,553,Adjusted,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,corrected for test specificity,NA,07,2010,NA,11,2012,492_009,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,Occupation,Abattoir services,Significant,Not adjusted,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,NA,NA,07,2010,NA,11,2012,492_010,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Contact with animal",NA,Not significant,Not adjusted,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,NA,NA,07,2010,NA,11,2012,492_011,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Other",NA,Not significant,Adjusted,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,NA,NA,07,2010,NA,11,2012,492_012,Rift Valley fever virus,1,0
492,1,FALSE,503,Thomas Rawson,Risk factors,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,Occupation,Abattoir services,Significant,Adjusted,No,NA,NA,Both,553,Other,Abattoir workers,18,82,Kenya,Lake Victoria Basin,region,Unspecified,Rural area,Yes - as an attachment,slaughterhouses; risk factor occupation; being a slaughterman specifically,NA,07,2010,NA,11,2012,492_013,Rift Valley fever virus,1,0
472,1,FALSE,565,Christian Morgenstern,Seroprevalence - IgG,No,No,18,NA,NA,NA,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,211,Naive,NA,NA,NA,NA,NA,NA,Yes,No,"Age,Level of exposure,Sex,Symptoms",Both,211,Household based,General population,1,NA,Kenya,"Bodhei Village, Lamu County",Village/County,Post outbreak,Rural area,Unspecified,The timing is described as inter-epidemic period,NA,09,2006,NA,09,2006,472_001,Rift Valley fever virus,1,0
472,1,FALSE,565,Christian Morgenstern,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Contact with animal,Sex,Other",NA,Significant,Not adjusted,No,NA,NA,Both,211,Household based,General population,1,NA,Kenya,"Bodhei Village, Lamu County",Village/County,Post outbreak,Rural area,Unspecified,The timing is described as inter-epidemic period,NA,09,2006,NA,09,2006,472_002,Rift Valley fever virus,1,0
472,1,FALSE,565,Christian Morgenstern,Risk factors,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Contact with animal,Environmental,Consumption of animal product,Other",NA,Not significant,Not adjusted,NA,NA,NA,Both,211,Household based,General population,1,NA,Kenya,"Bodhei Village, Lamu County",Village/County,Post outbreak,Rural area,Unspecified,The timing is described as inter-epidemic period,NA,09,2006,NA,09,2006,472_003,Rift Valley fever virus,1,0
472,1,FALSE,565,Christian Morgenstern,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Serology,"Age,Contact with animal,Other",NA,Significant,Adjusted,NA,NA,NA,Both,211,Household based,General population,1,NA,Kenya,"Bodhei Village, Lamu County",Village/County,Post outbreak,Rural area,Unspecified,Seropositivity associated with worse ophthalmological outcomes. The timing is described as inter-epidemic period.,NA,09,2006,NA,09,2006,472_004,Rift Valley fever virus,1,0
475,1,FALSE,678,Christian Morgenstern,Seroprevalence - IFA,No,No,8.01,NA,NA,NA,No,Percentage (%),Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,474,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,NA,"Age,Region,Sex",Both,474,Community based,Mixed groups,NA,NA,Madagascar,Fenerive,district,Post outbreak,Unspecified,Not available,NA,02,05,1990,2,6,1990,475_001,Rift Valley fever virus,1,0
475,1,FALSE,678,Christian Morgenstern,Seroprevalence - IgM,No,No,5.4,NA,NA,NA,No,Percentage (%),Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,460,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,No,"Age,Region,Sex",Both,460,Community based,Mixed groups,NA,NA,Madagascar,Fenerive,district,Post outbreak,Unspecified,Not available,NA,02,05,1990,2,6,1990,475_002,Rift Valley fever virus,1,0
475,1,FALSE,678,Christian Morgenstern,Seroprevalence - IFA,No,No,27.7,NA,NA,NA,No,Percentage (%),Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,Naive,Lab confirmed,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,18,Hospital based,Persons under investigation,NA,NA,Madagascar,Fenerive hospital,district,Post outbreak,Unspecified,Not available,NA,02,05,1990,2,6,1990,475_003,Rift Valley fever virus,1,0
