Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Outbreak_duration_months,Ongoing,Outbreak_country,Outbreak_location,outbreak_location_type,outbreak_source,Cases_mode_detection,Pre-Outbreak,Cases_confirmed,outbreak_probable,Cases_suspected,Cases_unspecified,Cases_asymptomatic,Asymptomatic_transmission,Cases_severe,Deaths,Population_size,Type_cases_sex_disagg,Male_cases,Female_cases,Prop_male_cases,Prop_female_cases,outbreak_notes,Outbreak_start_day,Outbreak_start_month,Outbreak_start_year,Outbreak_end_day,Outbreak_end_month,Outbreak_end_year,access_outbreak_id,Outbreak_ID,Pathogen,num_rows,matching
516,1,FALSE,753,Joseph Hicks,3,No,Egypt,Belbes; Zagazeg; Abo-Hammad; Facos,District,Other,Symptoms,Disease-free baseline,NA,NA,NA,NA,210,No,NA,24,197007,Unspecified,155,55,0.738,0.262,All districts are in Sharkia Governorate,08,10,1977,17,12,1977,516_001,516_001,Rift Valley fever virus,1,0
541,1,FALSE,845,Patrick Doohan,NA,No,"South Sudan,Sudan",Nile;Khartoum;Kassala;El Gezira;White Nile;Sennar;Upper Nile;,State,Unknown,Molecular (PCR etc),Unspecified,78,NA,156,NA,NA,No,NA,NA,NA,Confirmed,50,28,60,NA,NA,09,10,2007,04,12,2007,541_001,541_001,Rift Valley fever virus,1,0
541,1,FALSE,845,Patrick Doohan,NA,No,Sudan,El Gezira,State,Unknown,Molecular (PCR etc),Unspecified,18,NA,100,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2010,NA,10,2010,541_002,541_002,Rift Valley fever virus,1,0
508,1,FALSE,1165,Julia Halder,NA,No,Mauritania,Trarza; Brakna; Assaba,Nine localities belonging to 3 administrative provinces,NA,Confirmed + Suspected,Unspecified,25,NA,NA,NA,NA,NA,NA,4,NA,Unspecified,NA,NA,NA,NA,98 persons included; 25 were recently infected; 9 confirmed initially plus 10 more of the suspected were confirmed in investigation plus 6 more of the contacts which made 25 total; 4 of those died.,NA,09,2003,NA,12,2003,508_001,508_001,Rift Valley fever virus,1,0
519,NA,FALSE,1184,Yiran Wang,NA,No,Madagascar,15 districts in Madagascar - mostly from the central highlands,district,Unknown,Confirmed + Suspected,NA,36,31,476,NA,NA,No,NA,19,NA,NA,NA,NA,NA,NA,"suscepted includs confirmed cases - of the 134 suspected cases sampled, 36 were confirmed, 31 were probable, and 67 were negative.",28,01,2008,15,06,2008,519_001,519_001,Rift Valley fever virus,1,0
519,NA,FALSE,1184,Yiran Wang,NA,No,Madagascar,Antananarivo ; Fianarantsoa-I; Fianarantsoa-II; Ambohimahasoa; Ambalavao,district,Unknown,Confirmed + Suspected,NA,10,9,236,NA,NA,No,NA,7,NA,NA,NA,NA,NA,NA,"suscepted includes confirmed cases - of the 47 suspected cases sampled, 10 were confirmed, 9 were probable, and 28 were negative.",01,12,2008,15,05,2009,519_002,519_002,Rift Valley fever virus,1,0
530,NA,FALSE,1184,Gina Cuomo-Dannenburg,NA,NA,Madagascar,NA,15 districts,NA,NA,NA,NA,NA,476,NA,NA,No,NA,19,NA,NA,NA,NA,NA,NA,Presented in the results. These are suspected cases and deaths reported to DULM (epidemic response team) within those dates. Unsure if this is the complete outbreak.,28,01,2008,15,06,2008,530_001,530_001,Rift Valley fever virus,1,0
530,NA,FALSE,1184,Gina Cuomo-Dannenburg,NA,NA,Madagascar,NA,NA,NA,Symptoms,NA,NA,NA,236,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"Also from the text. As previous extracted outbreak, have extracted the data from the text. The districts aren't all listed but this is active surveillance of the outbreak nationwide.",01,12,2008,15,05,2009,530_002,530_002,Rift Valley fever virus,1,0
521,1,FALSE,1204,Ruth McCabe,NA,No,Egypt,Kom Ombo district of the Aswan Governorate,district,Unknown,Symptoms,Unspecified,NA,NA,41,NA,NA,No,NA,NA,NA,Suspected,23,18,NA,NA,"'Cases were recorded in all five districts of the Aswan Governorate, but over 70% originated on the east bank of the Nile in Kom Ombo. However, cases occurred as far apart as Aswan in the south and Idfu, which are 100 km or so from each other, and these patients said that they had not travelled to the Kom Ombo area or obtained animals or meat from that area.' Sex disaggregated cases doesn't correspond to the total number.",02,07,1993,25,07,1993,521_001,521_001,Rift Valley fever virus,1,0
533,1,FALSE,1496,Joseph Hicks,NA,No,South Africa,Gauteng; Mpumalanga; Limpopo,Province,NA,Confirmed + Suspected,Unspecified,17,NA,NA,NA,NA,No,NA,0,NA,NA,NA,NA,NA,NA,Exact months of confirmed cases in Figure 1,NA,NA,2008,NA,NA,2008,533_001,533_001,Rift Valley fever virus,1,0
