Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Model_type,Stoch_Deter,Transmission_route,model_vector_type,Compartmental_type,model_compartmental_other,model_uncertainty,model_spatial,model_spillover,model_seasonality,model_vertical_trans,Assumptions,Theoretical_model,model_fitting_method,Interventions_type,Code_available,model_language,model_data,model_readme,model_notes,access_model_id,Pathogen,num_rows,matching
538,1,FALSE,708,Nora Schmit,Compartmental,Deterministic model,Vector/Animal to human,"Vector - mosquito,Animal - domestic",SEIR-SEI,NA,Yes,No,Yes,No,No,"Homogeneous mixing,Latent period is same as incubation period,Other",Yes,NA,NA,No,NA,Not available,NA,The structure of the redcap database was not fully able to capture the dynamics of transmission in the model. The model is a deterministic compartmental model with an SEI component for mosquitoes and SEIR for humans and livestock. Livestock and humans experience disease induced mortality. The authors assume that humans cannot infect vectors. Vectors can infect humans and livestock but that also humans can become infected through direct contact with livestock. Have selected animals - domesticated because the animals in the model are livestock. Homogeneous mixing assumption derived from model equations but not explicitly stated.,538_001,Rift Valley fever virus,1,0
483,1,FALSE,1043,Gemma Nedjati-Gilani,Compartmental,Deterministic model,Vector/Animal to human,"Vector - mosquito,Animal - domestic",SEIR-SEI,NA,Yes,Yes,Yes,Yes,Yes,"Latent period is same as incubation period,Heterogenity in transmission rates - between human and vector",Yes,NA,NA,No,NA,Not available,No,As well as vector to human transmission (mosquito to human; livestock to human) it also includes transmission between livestock and mosquitoes; two mosquito species (aedes and culex) and vertical transmission is only included for aedes (with eggs),483_001,Rift Valley fever virus,1,0
520,1,FALSE,1190,Yiran Wang,Compartmental,Deterministic model,Vector/Animal to human,"Vector - mosquito,Animal - domestic",SEIR-SEI,"extended SEI-SEIR model, modelling the egg stage of Ades and Culex mosquitoes apart from SIR, and SEIR for livestock and human population",Yes,Yes,Yes,No,Yes,Other,Yes,NA,NA,No,NA,Not available,No,"Assumptions: only livestock can move in and out of nodes (locations), and all mosquitoes do not recover. No intervention tested.",520_001,Rift Valley fever virus,1,0
