id,outbreak_data_id,covidence_id,pathogen,outbreak_start_day,outbreak_start_month,outbreak_start_year,outbreak_end_day,outbreak_end_month,outbreak_date_year,outbreak_duration_months,asymptomatic_transmission,outbreak_country,outbreak_location,cases_confirmed,cases_mode_detection,cases_suspected,cases_asymptomatic,cases_severe,deaths,pre_outbreak,ongoing
26839290fc754199f5fb8287714a2689,330e1471dc060c573149ec4770101943,1272,Lassa mammarenavirus,NA,Oct,2015,NA,Feb,2016,NA,FALSE,Nigeria,Taraba; Edo; Lagos; Bauchi; Rivers; Gombe; Ekiti,47,Molecular (PCR etc),NA,NA,NA,28,Endemic equilibrium,FALSE
2c298b19cc69c9ac1aeedf4b8178f350,2124de4f03e3e26dfa4f7fcc9bd37980,1310,Lassa mammarenavirus,NA,Jan,1974,NA,Feb,1974,NA,FALSE,Nigeria,Onitsha,3,Molecular (PCR etc),NA,NA,NA,1,Unspecified,FALSE
d2ecc47171bdd43a29fed1a9e927fe9f,a11330633de4d6021e028084daf7c25a,1433,Lassa mammarenavirus,NA,Jan,1997,NA,Apr,1997,4,FALSE,Sierra Leone,Kenema ; Kailahun,NA,Molecular (PCR etc),NA,NA,352,NA,Unspecified,FALSE
f14b287ccc8da2a837c4d9d3ae2b3394,f5c0e686c34afc75e45964816afa714f,1447,Lassa mammarenavirus,1,Jan,2012,25,Mar,2012,NA,FALSE,Nigeria,Ebonyi State,10,Molecular (PCR etc),10,NA,NA,6,Endemic equilibrium,FALSE
8321fdc6e9cc33f09d4f4c0e58c71c08,0289155a17a7d3e7833afe6ca60e3b51,2589,Lassa mammarenavirus,1,Jan,2018,6,May,2018,4,FALSE,Nigeria,NA,423,Molecular (PCR etc),10,NA,NA,106,Endemic equilibrium,FALSE
8dcd9631796bbe52a7ae56ac6da2807a,646671e7f1f7796221d55a1b19ff2f58,2611,Lassa mammarenavirus,30,Oct,2019,16,Nov,2019,1,FALSE,Sierra Leone,Tonkolili District,3,Molecular (PCR etc),2,NA,NA,3,Endemic equilibrium,FALSE
e2d105ecdca74084b6c652802b2c4516,aa3d5258c6ef9940d96dc6bf36d0cca5,2651,Lassa mammarenavirus,NA,Oct,2014,NA,Nov,2014,1,FALSE,Benin,Northern Benin,2,Molecular (PCR etc),11,NA,NA,11,Unspecified,FALSE
e2d105ecdca74084b6c652802b2c4516,806eaee80b1a4ce0a87dd619b297c57b,2651,Lassa mammarenavirus,NA,Dec,2015,NA,Mar,2016,3,FALSE,Benin,Borgou; Donga;Collines; Alibori; Plateau; Ouémé; Atlantique; Litoral,18,Molecular (PCR etc),3,NA,NA,11,Unspecified,FALSE
0917806f0819d3a2318412fdbbe70d4a,cd8124ddd33622b808c2023b82d617f2,3635,Lassa mammarenavirus,1,Jan,2019,29,Dec,2019,12,FALSE,Nigeria,Edo; Ondo; Ebonyi,833,Molecular (PCR etc),5057,NA,NA,174,Unspecified,FALSE
a07d714192f45231e3edbb2921a3143c,f6f56337698ecaf4ce8524443cd96aef,3991,Lassa mammarenavirus,NA,NA,2018,NA,NA,2019,NA,FALSE,Nigeria,NA,1463,Molecular (PCR etc),NA,NA,NA,344,Endemic equilibrium,FALSE
c772c487685dfd7937fbdd62ceb345e2,da60a54b1aa54280b138ccd12d3b0c98,4314,Lassa mammarenavirus,NA,NA,2017,NA,NA,2017,NA,FALSE,Nigeria,NA,312,Unspecified,NA,NA,NA,78,Unspecified,FALSE
bd7b34286855ff335accb6bdbd83f694,41258c49820943173e78c4937a40838c,4316,Lassa mammarenavirus,1,Jan,2018,18,Mar,2018,NA,FALSE,Nigeria,Anambra; Bauchi; Benue; Delta; Ebonyi; Edo; Ekiti; Fct; Abuja; Gombe; Imo; Kaduna; Kogi; Lagos; Nasarawa; Ondo; Osun; Plateau; Rivers; Taraba,376,Unspecified,1495,NA,NA,95,Unspecified,FALSE
b895ff1b44ba2b783c78ba3185fb2c28,100c47192a95b8356bb3119c65cfba15,4745,Lassa mammarenavirus,NA,Mar,1972,NA,Apr,1972,NA,FALSE,Liberia,Zorzor,11,Unspecified,NA,NA,NA,4,Unspecified,FALSE
