fixed,Covidence_ID,Name_data_entry,Outbreak_ID,Article_ID,Outbreak_start_day,Outbreak_start_month,Outbreak_start_year,Outbreak_end_day,Outbreak_end_month,Outbreak_date_year,Outbreak_duration_months,Asymptomatic_transmission,Outbreak_country,Outbreak_location,Cases_confirmed,Cases_mode_detection,Cases_suspected,Cases_asymptomatic,Cases_severe,Deaths,Pre-Outbreak,Ongoing,Cases_unspecified,Population_size,Male_cases,Female_cases,Prop_female_cases,Prop_male_cases,Type_cases_sex_disagg,access_outbreak_id,Outbreak_data_ID,ID,Pathogen,num_rows,matching
1,927,Kelly M,6,12,16,Nov 11,2015,15,Feb 02,2016,NA,FALSE,Guatemala,8 unspecified admin regions,NA,NA,NA,NA,NA,NA,Unspecified,FALSE,386,NA,NA,NA,NA,NA,NA,6,99c6157ba49d1b0654974cc1baf861fc,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,927,Kelly M,7,12,1,Jan 01,2016,13,Mar 03,2016,NA,FALSE,Panama,1 unspecified admin region,49,Unspecified,NA,NA,NA,NA,Unspecified,FALSE,NA,NA,NA,NA,NA,NA,NA,7,7fb69857baca7a7a021c28730fe09f66,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,927,Kelly M,8,12,26,Nov 11,2015,24,Feb 02,2016,NA,FALSE,Puerto Rico,NA,198,Unspecified,NA,NA,NA,NA,Unspecified,FALSE,NA,NA,NA,NA,NA,NA,NA,8,f664fa0c3d9d54bf65d5d775e69cd954,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,927,Kelly M,9,12,1,Jan 01,2016,13,Mar 03,2016,NA,FALSE,El Salvador,11 unspecified admin regions,NA,NA,5618,NA,NA,NA,Unspecified,FALSE,NA,NA,NA,NA,NA,NA,NA,9,ecc4753141451e6ba055e097360fc727,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,927,Kelly M,10,12,1,Jan 01,2016,13,Mar 03,2016,NA,FALSE,Colombia,15 unspecified admin regions,1593,Unspecified,NA,NA,NA,NA,Unspecified,FALSE,NA,NA,NA,NA,NA,NA,NA,10,7da8ae16562f4961a20b635fd6d338a8,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,927,Kelly M,11,12,1,Jan 01,2016,13,Mar 03,2016,NA,FALSE,Ecuador,2 unspecified admin regions,NA,NA,96,NA,NA,NA,Unspecified,FALSE,NA,NA,NA,NA,NA,NA,NA,11,8614437a1476d977c4cfb015dd7fd293,16f97fa8a34ea65fbc4020042bcb2cce,Zika virus,1,0
1,947,Anna Vicco,6,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Austral Islands (AUS),NA,NA,1208,NA,NA,NA,NA,FALSE,NA,7000,NA,NA,NA,NA,NA,6,44d95e4bc31eafb96ed8b04db15471bc,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,7,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Mo'orea Island (MOO),NA,NA,1235,NA,NA,NA,NA,FALSE,NA,16000,NA,NA,NA,NA,NA,7,256565bf2b94b57f1f6016be4a7bc4cf,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,8,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Marquesas Islands (MRQ),NA,NA,994,NA,NA,NA,NA,FALSE,NA,9000,NA,NA,NA,NA,NA,8,bdfb0c3248c1ea13e94f29e7c47b1026,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,9,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Sous-le-vent Islands (SLV),NA,NA,3912,NA,NA,NA,NA,FALSE,NA,33000,NA,NA,NA,NA,NA,9,528f3f3973c80e3e46e59ec75cb8d18f,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
