Article_ID,ID,Model_data_ID,Model_type,Compartmental_type,Stoch_Deter,Theoretical_model,Interventions_type,Code_available,Transmission_route,Assumptions,Ebola.variant
36,8bd5c61ba438cd614e99cedafb274100,1f5a2f9d42da650e463e76de2efb833f,Agent / Individual based,SEIR,Stochastic,0,18,0,18,18,18
36,8bd5c61ba438cd614e99cedafb274100,2175aed5bcbb25c8cd66107f0ff7245c,Compartmental,SEIR,Deterministic,0,6,0,6,6,6
35,413529ceff4f27388167d93cce00880c,0acf9c085d7e60c139b0bde7abb5541f,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,933ac0ea6e7c75f1e4e08956fdb4ad0f,01351006afca39c6ef9b27721b064619,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,50b526abcf6d51352b32f86d65d45831,15d37c588baa6a55cfb29cdf9dfd7af8,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,c45a3bab0d6baf5fab8ede23380d9313,59e6edd3d5e71d5ca31dd90790f315ea,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,a68d00d98b97643f1aad94dd95819346,adf4cef37df9b39051bbc635ea648993,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5c3f1f8983cc71acabc2f358d829cf1c,e6907b39a5b475dfa52f39514e9f09fe,,,,0,11,0,11,11,11
25,5c3f1f8983cc71acabc2f358d829cf1c,ef7f9fdb3641129e63078c85f2b5fa14,Branching process,,Stochastic,0,16,1,16,16,16
30,5eb366c8f1eaeee671f6bf46f08230cc,06cb3029afc8c4a18fccf86b6ea57e81,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,d8adac7f97cf0368bd438bd915037458,4045f8b702cf21514d00a2e45bacb66c,Compartmental,SEIR,Deterministic,0,1,0,1,1,1
4,296b0497450b795d0889bf85433f8263,bd8b23f30623b182e53f7a0e1e7ecc81,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,595c8f4d51f67d727d7241813554d7a3,062301fa4c8571744fdb8d64ca539e41,Compartmental,,Stochastic,0,3,0,3,3,3
