Article_ID,ID,Model_data_ID,Model_type,Compartmental_type,Stoch_Deter,Theoretical_model,Interventions_type,Code_available,Transmission_route,Assumptions,Ebola.variant
2,02738e0710033f7d20becf6be1405f18,f363a46b4da5205f38c11198d629c885,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0ca1bc6991f7ae9aae8a05cc491d2f3a,9286fbbe66e3ff33d02b8f2395565946,Compartmental,Other compartmental,,0,2,0,2,2,2
7,2590960edab4a461dcdbabe3ad1fdcc7,5dd371dcd262deec717d66068c7370de,Compartmental,SIS,Deterministic,0,4,0,4,4,4
3,a312c35a5ecc640264aa6cf5494379d3,eb4ce375aa9b522be0d39654427ae8cf,Compartmental,SIR,Deterministic,0,1,0,1,1,1
4,a43fee5b36a3a27c571481a3fd6f44b1,296dc87e5bbacdd9b1102860abe3c01a,Compartmental,Other compartmental,,1,2,0,2,2,2
1,8f0eabb10074ccb59c7ed72b514c94a8,4079d2d362503a2c09bd93a132e41f7b,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,e4ba095a1f2e6fced7e8f7d3a56a5e09,66ed9aa662ac4a46b3546848e9a7e93e,Compartmental,Other compartmental,Deterministic,0,3,1,3,3,3
5,dcc8034afa56677baa75061e89127002,849b427ed8dc9e00795962bf20e7e109,Compartmental,Other compartmental,Deterministic,0,5,0,5,5,5
2,94bebd9806810c448f8b5a4ad72d91eb,fd51eaf9a176382bc763dfcbb2d0d7b5,Compartmental,SIR,Deterministic,0,1,0,1,1,1
3,c63555b48166412ee45a08202635bcfc,47da0197767e20be4276bd58dc3e8fed,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,98b861ee3704ef5010e243a991dc8b7e,4c59275f44b8d8e41e1655d9d9675819,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1cea65b91b0a16e90c7107f9cddb7c65,189992031b2c899a7cacea8d56a257f3,Compartmental,Other compartmental,,0,19,0,19,19,19
39,907038815197614b3a8424795cef8496,6cc256ffa411cee18a83d01b661dfed2,Other,Not compartmental,,0,22,0,22,22,22
34,2f542467f121954aca412d6b3611ac6a,5eb8b8fd65f9c561bb1419eb73206a5a,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,d35f548d16c4b81ea234348477679747,118d3c4184c07f9894ef7caa8d480ddc,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1d03ff8bc670f4788b1669adb97d264b,69ce8f98ca65df18bf23113701de543f,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0ccbff74cf3a7d72ae287eef81166b93,1f30bbfedbe971b6dad807a12f90d7d6,Other,Not compartmental,,0,21,0,21,21,21
35,200fdf3f6789ea50836ffb01e57895a1,06b56be6b8c2225f3f41235e4ebfe5db,Compartmental,Other compartmental,Stochastic,0,18,0,18,18,18
37,ad0f946538796c176ccd1e1a9d78213a,39ec15f3515f74d4e6c99f095722afa3,Compartmental,SIR,,0,20,0,20,20,20
12,6a5f07ad2e6ccab269334839aa6409f4,e12c28c6dec439631a3c7bf38a6d270e,Compartmental,Other compartmental,,0,5,0,5,5,5
16,2001d295af45802123715add1735f054,03973f040f8c01427f6a642027628ac8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2f24d21ff26a14c3c6e6ede26dfa8e45,1fea0f284d1a7a733245c5bd9b21b7ec,1,1,1,1,1,0,1,1,1
3,badd3d65e04d0891853b809a9c03bb82,5de7d0f2d88b79ddc9b5f4312e8bc54a,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,6fdbf2879dee05969ce142484d200853,8b08810a124380870554db600e325bfd,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,a8c019974ac5169b965e1bea15b256cd,5041bfd7be7518e991cc6d3f845b3c6a,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1061541c0fc0a6ac465afe4e49568afa,15a939a5f1a23d2f39d9300f3f2479ab,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,bc32e9b6ac8d3bed60d68d5fca502053,e5709e7137b1f9e20f60b3724b27c4b8,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4e3667a1d4489aa9d60fb6737304ce7d,02e3fd710f3bc1ef46ab2a33e264ca19,4,4,4,0,4,0,4,4,4
13,8b86465a271bde81f19bfbff7be62afb,55537c657b7f0a86b372ce1c8c081472,5,5,5,0,5,0,5,5,5
9,4bd3c8f97af6ba54103af4149e4abd55,0e7dc1399d1a6e79191e38f136ed9964,3,3,3,0,3,0,3,3,3
10,f34e3f5a6705d35c0798bf92c4204f48,3310bc418e95db3265c048a8e1c51c62,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6a7013336b27f1ac63381ddd7312acb1,f0b184abc8e47682543c4c5ece135057,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,558c1601269c5ed60a2b156fb2776697,c584169c2089f0adb2f1d61ea9865041,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,31a0cf5b0f2a57ad8b0fe3367f3dbdb6,07488a023d631368686b7f0d337679a3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,d5148f02742ca85f9f03aa19f44c421d,3641d8d90eb3885bd3516a4783e0dfcf,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,c22bcd256de5bb2bf563e758dd6ebfa8,2e72fbd47cd43c8595fbfbc33eb63986,Other,,,0,1,0,1,1,1
2,ea6bf36e8acee2810c8ee59c36ee1dd4,8dc35ccb89a6f229a30b16f67fde2869,Agent / Individual based,SEIR,Stochastic,0,2,0,2,2,2
2,712604aefad140d513f005e8a6fba400,12cc39efffa46a90fef163bbb7d151f2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dd4a7967299220853cc5f27d179f04fb,d62117b3fc426492967e4fb873f11c06,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2e760618b03240c5d430652c02a807ac,00024db77ffeef8e26305f2be71fb40d,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1794e43c2b234026d571feb90e472bb1,58bca74f82de7669b97a7f330e8e835d,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,6bc1504d637ca312c1f366d1f4476683,baab86ebf0485564f1c6f11250e6843d,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,a671622d80f9eaae815170958727e5fd,a4cb39cef177f145ec4579a1b51de920,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,71cd7afc038fe338fb3b1ad431593cbe,8b178a12de53f338fea9f7796c53cca2,Compartmental,Other compartmental,Deterministic,0,18,0,18,18,18
39,f3dd4ef34248ed7bb7b98ef668f5e836,0aa7cc4d1b342802cb3c41965e66c741,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6b00029b2e18108f6c45909539875758,1398c517b50cc12a677f35fd1214f71b,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,c1a23aa28f2dfc970dd6895302fec32b,05c16ebc94e04aa5338eb415fb1b38a1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,c2aa756c551325a2c56a68f7dca92309,908184ebadddb16643de20998c708c8f,Compartmental,SEIR,Stochastic,0,1,0,1,1,1
2,d7297511477eb427637b0d2337703c31,d9f1827668cf3ce7b6f99a0172ed6712,Compartmental,SEIR,Deterministic,0,2,0,2,2,2
2,d7297511477eb427637b0d2337703c31,664b940e42222b76d7196fc2ea94eda9,Agent / Individual based,SEIR,Stochastic,1,3,0,3,3,3
5,a0377bdada2a0a113fa8288bc12ab2b2,0881dd77a2a0bb885a2298ff386196c5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,65b24a18a9eb4ca6f1f04f161bc6b08a,18456b4d16e529df370bb6b3d73bee66,Compartmental,SEIR,Deterministic,0,4,0,4,4,4
36,10102029284153a7de733d45d2e1bf63,88ead12802ec9219b842670dfee23d75,Other,Other compartmental,,0,18,0,18,18,18
38,da4fffea400482dc0942464ab13a5184,a81cb8164c70c72f249a97cbd962e2b1,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36e9323a538f2f116ddc49d4ec7007e3,b156b6640d69dcd1dda6c920595602d7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1a2b91eade206ac2cc205dc68ab37376,afb1d1493c12003bdc4cc2318cf22848,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,9458374e2bade96d346e3148f0fb14cc,a637ae0bd4fae94c994d230ea26d9a64,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,e78034a656c4f332a40cd65eabc5cc81,2f643b1b6571a63a12bc3442ee34d8c0,Other,Not compartmental,,0,4,0,4,4,4
40,b666f676e28935208db332f23f9c82b1,c57a7abda5852c2f50983bd39630031f,Compartmental,SIR,,0,19,0,19,19,19
8,c81815b4a582c4b97fb32685c73f1a0b,56532b544b752752d2fdd28fcfa9330c,Compartmental,Other compartmental,Deterministic,0,2,0,2,2,2
8,c81815b4a582c4b97fb32685c73f1a0b,f4469cad76b6700814de3ab0bc72c99f,Compartmental,Other compartmental,Stochastic,0,1,0,1,1,1
8,c81815b4a582c4b97fb32685c73f1a0b,c68cc34a5fd1cb81edf514a611f68119,Compartmental,SEIR,Deterministic,0,3,0,3,3,3
39,a9df1dae7e4cf96930cb1b37eec269b9,8aeda5d3a7dcd74aaac0c64c68795d72,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,c7a0aebbe31c99f29ea2d5936a3b28ab,57e8253a78a965182742bc0efe5725fd,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,02994b2f7ce1ab1afdb47259ea7e318c,587535764262b2e68070cad4f6460948,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0ead7154ff193cb5e1c747f3946e13b7,ae821af9d639ad250c3d6ae20d0f03f9,Other,Not compartmental,,0,17,0,17,17,17
33,06e1aa31dd54f5c165853703a4ef3b79,42cb52601b952106f5ff993035f00aeb,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,915577de3ad800c3c432af2952e956d7,622b3fbf0c60f3a2eb5c673bb46efb88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,ec0ee9e5d5c3ad5c7703f6e1325ca5f4,ceaeb94ab996fc70b81432708f26b40d,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,daf4037d4fa31b3b879a897ffcb356bd,dc23163e173700cc3801e1a99abcfc0b,Compartmental,Other compartmental,NA,0,1,0,1,1,1
6,48d8db6bc5f03eb6a124f9349f19bcc3,2207a34e9f19e611dc1c44911eb3b4bc,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2735dd9893c1c61ea7c73e8345678dc4,2c0adf7d765452ab0adf55c9b561df45,Compartmental,SIR,NA,0,2,0,2,2,2
4,3bb1eb856ead0ccbb333509ad4d9a77d,0480e6eefff6a7f9f48cb2f1367bcaa3,Compartmental,SIR,NA,0,3,0,3,3,3
8,16b411e0e57a7965d2127c2c049bfadf,2009febb5d936315c1bb5491110455dc,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1fe83700fbc75651b1df0af340f6926a,4397ffe7e0c5f2c59f7f40149bcfeb1b,Branching process,,Stochastic,0,1,1,1,1,1
4,12c89a2d2ed0e37b29f4608fce61fe57,cc751ccb70ad88e7bc4412f7aa5b651c,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,b8164ca97d23abeb04dded049be8e2cf,2dd7cad4f01e43ce4ded4e5dd2bca558,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ce9b9606cdae2303344eadf0ea7a8524,35058150673e1bb1c4ebbaa5b7b01960,Other,,Stochastic,0,3,0,3,3,3
3,ae02dea5bd55e030b234a540e1a16c48,e376f42a3eca6999f8e39fc23273bde8,Compartmental,Other compartmental,Stochastic,0,2,0,2,2,2
6,409a60bac08fd8581f4fce755a4acdfe,9ea2375d106526ddb30660fcce0fb175,Compartmental,Other compartmental,,0,4,0,4,4,4
7,c89dc8699cd9a72ec1b4d87a1c90eea8,e5e287ddaa05bd2173411901337675b9,Compartmental,Other compartmental,,0,5,0,5,5,5
2,3c037cc9574dfb5272dcdb3542f2713c,d45fca672f4a7ebc1102b5aff0722165,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5562206ed01830db4ead682f40b1d8c8,637254693ab24a3830e1cc355c1487c2,1,1,1,0,1,0,1,1,1
38,9c188d9d6629c5ca97d337f463e90eb2,f8cd952bfbd8c7da605692e37024c2de,Compartmental,Other compartmental,Stochastic,0,21,0,21,21,21
38,9c188d9d6629c5ca97d337f463e90eb2,39103f50661d833b5c6d9b0866750af5,Compartmental,SIR,Stochastic,0,22,0,22,22,22
38,9c188d9d6629c5ca97d337f463e90eb2,72ed51fa9d27cdf1d1190c36de4f22d5,Compartmental,SEIR,Stochastic,0,23,0,23,23,23
38,9c188d9d6629c5ca97d337f463e90eb2,aa2ba81c1b80b27be360d786a9932bd1,Branching process,Other compartmental,Stochastic,0,25,0,25,25,25
38,9c188d9d6629c5ca97d337f463e90eb2,b94fa6ec807aac3962943b904e52a67b,Branching process,Other compartmental,Stochastic,0,26,0,26,26,26
38,9c188d9d6629c5ca97d337f463e90eb2,8c75b5f9a2593b96c4473bb45d0cdf23,Compartmental,SEIR,Deterministic,0,24,0,24,24,24
35,fee8192504384f48dc1371dca20156a0,2dc83d7c2ac44f66fbf6dbe9ff7d1c5a,Compartmental,SEIR,Stochastic,0,18,0,18,18,18
37,6ace1e9a465a3c1634a74cd0fc2ed392,60adf970dd3586133fad1af9adae30e7,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,677ab348887ce68eccc167ca03aa3de2,154102b7481bd809f34e9568c5763a1d,Agent / Individual based,SEIR,Stochastic,1,27,1,27,27,27
40,77c9a2dbbe9197ffb5c46ec1612107db,8e8a0cabe7114047f244b3f195d8203c,Compartmental,Other compartmental,Stochastic,0,28,0,28,28,28
