"fixed","covidence_id","name_data_entry","shared_article_id","qa_m1","qa_m2","qa_a3","qa_a4","qa_d5","qa_d6","qa_d7","double_extracted","num_rows","matching"
NA,30,"Anne","19_Anne","No","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,30,"Christian","1_Christian","No","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,65,"Christian","3_Christian","Yes","Yes","Yes","Yes","Yes","No","Yes",1,2,1
NA,65,"Ettie Unwin","12_Ettie Unwin","Yes","Yes","Yes","Yes","Yes","No","Yes",1,2,1
NA,159,"Cyril","3_Cyril","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,159,"Dariya Nikitin","2_Dariya Nikitin","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,404,"Ettie Unwin","37_Ettie Unwin","Yes","Yes","Yes","Yes","No","No","No",1,2,1
NA,404,"Ruth","4_Ruth","Yes","Yes","Yes","Yes","No","No","No",1,2,1
NA,507,"Patrick","1_Patrick","No","Yes","Yes","Yes","Yes","No","No",1,2,1
NA,507,"Sabine","3_Sabine","No","Yes","Yes","Yes","Yes","No","No",1,2,1
NA,662,"Patrick","6_Patrick","Yes","Yes","Yes","Yes","Yes","Yes","No",1,2,1
NA,662,"Ruth","1_Ruth","Yes","Yes","Yes","Yes","Yes","Yes","No",1,2,1
NA,865,"Dariya Nikitin","4_Dariya Nikitin","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,865,"Sequoia","38_Sequoia","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,885,"Anne","36_Anne","No","No","Yes","No","Yes","Yes","No",1,2,1
NA,885,"Rebecca Nash","36_Rebecca Nash","No","No","Yes","No","Yes","Yes","No",1,2,1
NA,6346,"Anne","38_Anne","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
NA,6346,"Kelly McCain","39_Kelly McCain","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,1
